N	51.9212	-8.17579	P280	25 Nov 2021	P280\nMidleton to Cork\nExpected Departure 12:45	To Cork
N	52.5009	-8.20003	A432	25 Nov 2021	A432\nLimerick Junction to Limerick\nExpected Departure 12:40	To Limerick
N	53.3223	-6.52356	P409	25 Nov 2021	P409\nHazelhatch to Grand Canal Dock\nExpected Departure 12:35	Northbound
N	53.3531	-6.24591	D808	25 Nov 2021	D808\nDublin Connolly to Drogheda\nExpected Departure 12:50	Northbound
N	53.3531	-6.24591	D915	25 Nov 2021	D915\nDublin Connolly to Maynooth\nExpected Departure 12:47	Northbound
R	0	0	A208	25 Nov 2021	A208\n10:00 - Dublin Heuston to Cork (-1 mins late)\nDeparted Killarney Junction next stop Cork	To Cork
R	0	0	A804	25 Nov 2021	A804\n12:45 - Dublin Heuston to Westport (-5 mins late)\nArrived Inchicore Advance Starter next stop Portarlington	To Westport
R	52.1396	-8.65521	A304	25 Nov 2021	A304\n11:25 - Mallow to Tralee (2 mins late)\nDeparted Mallow next stop Banteer	To Tralee
R	52.5009	-8.20003	A210	25 Nov 2021	A210\n11:00 - Dublin Heuston to Cork (5 mins late)\nDeparted Limerick Junction next stop Charleville	To Cork
R	52.6404	-8.52719	A472	25 Nov 2021	A472\n11:36 - Limerick Junction to Ennis (1 mins late)\nDeparted Killonan next stop Limerick	To Ennis
R	52.6766	-7.82189	A213	25 Nov 2021	A213\n11:25 - Cork to Dublin Heuston (1 mins late)\nDeparted Thurles next stop Ballybrophy	To Dublin Heuston
R	53.0371	-7.30086	A212	25 Nov 2021	A212\n12:00 - Dublin Heuston to Cork (0 mins late)\nArrived Portlaoise next stop Thurles	To Cork
R	53.1442	-6.06085	A602	25 Nov 2021	A602\n09:33 - Dublin Connolly to Rosslare Europort (8 mins late)\nDeparted Greystones next stop Wicklow	Southbound
R	53.1454	-7.06361	P211	25 Nov 2021	P211\n12:25 - Portlaoise to Dublin Heuston (3 mins late)\nDeparted Monasterevin next stop Kildare	To Dublin Heuston
R	53.1545	-6.96542	A509	25 Nov 2021	A509\n11:00 - Waterford to Dublin Heuston (5 mins late)\nDeparted Cherryville Junction next stop Kildare	To Dublin Heuston
R	53.1855	-6.80807	A805	25 Nov 2021	A805\n09:45 - Westport to Dublin Heuston (0 mins late)\nDeparted Newbridge next stop Dublin Heuston	To Dublin Heuston
R	53.2043	-6.10046	E821	25 Nov 2021	E821\n12:34 - Greystones to Malahide (0 mins late)\nArrived Bray next stop Shankill	Northbound
R	53.2364	-6.11691	E112	25 Nov 2021	E112\n11:30 - Malahide to Greystones (1 mins late)\nDeparted Shankill next stop Bray	Southbound
R	53.2557	-6.11317	E921	25 Nov 2021	E921\n12:35 - Bray to Howth (0 mins late)\nDeparted Killiney next stop Dalkey	Northbound
R	53.2704	-7.49985	A711	25 Nov 2021	A711\n11:05 - Galway to Dublin Heuston (1 mins late)\nDeparted Tullamore next stop Portarlington	To Dublin Heuston
R	53.2756	-6.10333	E224	25 Nov 2021	E224\n11:40 - Howth to Bray (1 mins late)\nDeparted Dalkey next stop Killiney	Southbound
R	53.2951	-6.13498	E225	25 Nov 2021	E225\n11:52 - Malahide to Bray (0 mins late)\nDeparted Dun Laoghaire next stop Sandycove	Southbound
R	53.2951	-6.13498	E820	25 Nov 2021	E820\n12:25 - Bray to Malahide (0 mins late)\nArrived Dun Laoghaire next stop Salthill and Monkstown	Northbound
R	53.3099	-6.19498	E113	25 Nov 2021	E113\n12:00 - Howth to Greystones (0 mins late)\nArrived Booterstown next stop Blackrock	Southbound
